year,country,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda,region
1991,New Zealand,1,4,0,0,208.44,276.62,30.55,Asia Pacific
1991,Norway,3,21,243.22,185,4478.05,11158.15,1775.72,Europe
1991,Panama,1,29,315.6,247.7,2272.8,1816.9,563.8,North America
1991,Singapore,1,1,14.3,3.8,92.92,100.19,3.52,Asia Pacific
1991,Spain,1,1,100,6428,38750,11117,5111,Europe
1991,Sweden,7,128,2774.95,2105.98,7571.66,46893.63,3441.6,Europe
1991,Switzerland,8,317,1735.42,2067.69,9864.31,64903.74,8973.6,Europe
1991,United Kingdom,31,1037,7569.21,20929.48,9168.37,259828.48,39944.39,Europe
1991,United States,811,18626,62124.59,152847.49,3524.73,2078557.05,306958.2,North America
1992,Antigua and Barbuda,1,4,0,9.15,126.11,114.67,18.57,North America
1992,Australia,1,41,0,133.12,1955.8,492.43,337.75,Asia Pacific
1992,Belgium,2,79,0,0,1225.12,997.27,236.7,Europe
1992,Bermuda,1,3,0,49.25,309.43,286.27,48.42,North America
1992,Brazil,2,20,45.37,0,14817.71,7954.52,2126.8,Other
1992,Canada,27,224,1182.29,5876.73,3512.39,44283.15,7980.81,North America
1992,Denmark,3,42,243.37,352.27,1349.64,3370.82,1222.17,Europe
1992,Finland,4,59,237.34,6.26,3130.95,8214.67,757.28,Europe
1992,France,16,518,6025.3,2884.53,11135.38,149779.47,18869.98,Europe
1992,Germany,22,2452,16043.59,0,12893.35,341690.23,28394.01,Europe
1992,"Hong Kong, SAR China",1,5,0,0,348.92,191.23,48.74,Asia Pacific
1992,Ireland,10,616,579.93,722.68,1754.62,19816.41,2219.02,Europe
1992,Israel,4,18,51.93,45.76,242.21,779.26,147.31,Other
1992,Italy,4,29,674.45,1122.77,22001.13,52107.2,7352.68,Europe
1992,Japan,198,15691,38818.65,57244.66,8607.02,1608812.93,94947.1,Asia Pacific
1992,Luxembourg,1,5,0,33.13,929.09,957.47,124.74,Europe
1992,Mexico,1,3,0,0,1019.66,994.71,124.56,North America
1992,Netherlands,9,776,2889.64,2585.39,8241.36,88897.72,5328.87,Europe
1992,New Zealand,1,1,0,0,206.17,318.12,34.09,Asia Pacific
1992,Norway,2,15,196.17,1083.63,6400.98,9196.12,1467.66,Europe
1992,Panama,1,38,374.4,340.8,2809.1,2085,612.1,North America
1992,Singapore,1,5,13.89,3.6,83.94,94.96,-4.78,Asia Pacific
1992,South Korea,1,1,104.6,1622.1,15690.4,8251.2,2466.1,Asia Pacific
1992,Sweden,7,132,2291.7,1612.98,6383.5,38053.76,1859.19,Europe
1992,Switzerland,9,339,3019.52,2198.99,8939.32,65938.63,10050.06,Europe
1992,Taiwan,1,5,23.02,0,489.6,261.34,53.83,Asia Pacific
1992,United Kingdom,31,928,7077.24,19929.18,9888.66,242981.1,32304.9,Europe
1992,United States,907,19761,69480.98,150525.68,2958.59,2076800.07,315809.68,North America
1993,Antigua and Barbuda,1,4,0,13.17,133.61,121.83,21.49,North America
1993,Australia,3,55,56.84,2282.68,7581.26,12719.98,2895.42,Asia Pacific
1993,Belgium,3,110,333.37,0,3238.85,7603.87,770.72,Europe
1993,Bermuda,1,1,0,29.21,426.82,352.04,50.14,North America
1993,Brazil,3,22,182.67,0,17507.54,19677.67,4180.57,Other
1993,Canada,28,187,1389.11,7018.31,3653.37,48333.09,10194.06,North America
1993,China,1,1,0.44,0.02,5.33,0.06,-0.84,Asia Pacific
1993,Denmark,3,50,257.66,390.2,1345.21,3265.19,1136.15,Europe
1993,Finland,4,35,335.02,209.47,2869.81,9068.83,1199.94,Europe
1993,France,18,497,6849.81,7179.12,13953.94,194394.07,20716.5,Europe
1993,Germany,22,2349,14145.15,4903.38,12474.67,305857.87,21240.52,Europe
1993,"Hong Kong, SAR China",1,4,0,54.2,527.77,195,51.95,Asia Pacific
1993,Ireland,9,545,727.84,891.44,1656.88,19860.3,2315.67,Europe
1993,Israel,5,14,123.46,85.43,432.23,2155.47,303.56,Other
1993,Italy,5,44,474.22,670.85,26150.04,79742.11,12772.27,Europe
