gvkey,year,company,city,country_code,sector_code,patentcount,country,region
11465,2014,Whirlpool Corp,Benton Harbor,USA,25,240,United States,North America
6946,2014,Magna International Inc,Aurora,CAN,25,151,Canada,North America
27575,2014,Acushnet Holdings Corp,Fairhaven,USA,25,135,United States,North America
8762,2014,Procter & Gamble Co (The),Cincinnati,USA,30,622,United States,North America
8596,2014,Pioneer Hi-Bred Internationl,Johnston,USA,30,244,United States,North America
6435,2014,Kimberly-Clark Corp,Dallas,USA,30,199,United States,North America
3813,2014,Target Corp,Minneapolis,USA,30,180,United States,North America
3170,2014,Colgate-Palmolive Co,New York,USA,30,153,United States,North America
8479,2014,PepsiCo Inc,Purchase,USA,30,102,United States,North America
8543,2014,Altria Group Inc,Richmond,USA,30,69,United States,North America
5568,2014,The Kraft Heinz Co,Pittsburgh,USA,30,59,United States,North America
3144,2014,Coca-Cola Co (The),Atlanta,USA,30,50,United States,North America
11259,2014,Walmart Inc,Bentonville,USA,30,47,United States,North America
7228,2014,Medtronic PLC,Galway,USA,35,1546,United States,North America
6266,2014,Johnson & Johnson,New Brunswick,USA,35,1128,United States,North America
25279,2014,Boston Scientific Corp,Marlborough,USA,35,1031,United States,North America
1078,2014,Abbott Laboratories,North Chicago,USA,35,833,United States,North America
16101,2014,AbbVie Inc,North Chicago,USA,35,463,United States,North America
7257,2014,Merck & Co Inc,Rahway,USA,35,452,United States,North America
2111,2014,Becton Dickinson and Co,Franklin Lakes,USA,35,420,United States,North America
10115,2014,Stryker Corp,Portage,USA,35,335,United States,North America
144559,2014,Zimmer Biomet Holdings Inc,Warsaw,USA,35,259,United States,North America
2403,2014,Bristol-Myers Squibb Co,Princeton,USA,35,196,United States,North America
2176,2014,Berkshire Hathaway Inc,Omaha,USA,40,256,United States,North America
7647,2014,Bank of America Corp,Charlotte,USA,40,240,United States,North America
179534,2014,Visa Inc,San Francisco,USA,40,160,United States,North America
122554,2014,United Services Auto Assn,San Antonio,USA,40,119,United States,North America
2968,2014,JPMorgan Chase & Co,New York,USA,40,103,United States,North America
61004,2014,Acacia Research Corp,New York,USA,40,74,United States,North America
160225,2014,Mastercard Inc,Purchase,USA,40,72,United States,North America
1447,2014,American Express Co,New York,USA,40,68,United States,North America
61739,2014,Hartford Insurance Group Inc (The),Hartford,USA,40,63,United States,North America
149070,2014,CME Group Inc,Chicago,USA,40,48,United States,North America
6066,2014,International Business Machines Corp,Armonk,USA,45,7851,United States,North America
12141,2014,Microsoft Corp,Redmond,USA,45,3496,United States,North America
24800,2014,QUALCOMM Inc.,San Diego,USA,45,2728,United States,North America
1690,2014,Apple Inc,Cupertino,USA,45,2216,United States,North America
180711,2014,Broadcom Inc,Palo Alto,USA,45,2194,United States,North America
6008,2014,Intel Corp,Santa Clara,USA,45,2178,United States,North America
5606,2014,HP Inc,Palo Alto,USA,45,1713,United States,North America
65986,2014,BlackBerry Ltd,Waterloo,CAN,45,1471,Canada,North America
20779,2014,Cisco Systems Inc,San Jose,USA,45,1221,United States,North America
137310,2014,Marvell Technology Inc,Wilmington,USA,45,1134,United States,North America
160329,2014,Alphabet Inc,Mountain View,USA,50,2737,United States,North America
